year,country_id_iso_3,country,currency_unit,population,employees,real_gdp_expenditures,real_gdp_output,current_consumption,current_absorption,current_gdp_expenditures,current_gdp_output,current_capital_stock,real_gdp_na,real_consumption_na,real_absorption_na,real_capital_stock_na,average_hours_worked,average_depreciation,current_capital_level,current_tfp_level,current_wtfp_level,real_capital_level_na,real_tfp_level_na,real_wtfp_level_na,price_level_ccon,price_level_cda,price_level_cgdpo,price_level_household,price_level_cf,price_level_gov,price_level_x,price_level_m,price_level_capital_stock,price_level_capital,real_rate_return,exchange_rate,human_capital_index,indicator_cig,indicator_xm,indicator_exchange_rate,indicator_outlier,indicator_real_rate_return,indicator_stat_capacity,corr_exp_share,current_share_household,current_share_gcf,current_share_gov,current_share_x,current_share_m,current_share_residual_trade,current_share_labour_gdp_na
1950,ABW,Aruba,Aruban Guilder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1951,ABW,Aruba,Aruban Guilder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,ABW,Aruba,Aruban Guilder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1953,ABW,Aruba,Aruban Guilder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1954,ABW,Aruba,Aruban Guilder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1955,ABW,Aruba,Aruban Guilder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,ABW,Aruba,Aruban Guilder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1957,ABW,Aruba,Aruban Guilder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1958,ABW,Aruba,Aruban Guilder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1959,ABW,Aruba,Aruban Guilder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,ABW,Aruba,Aruban Guilder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,ABW,Aruba,Aruban Guilder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1962,ABW,Aruba,Aruban Guilder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1963,ABW,Aruba,Aruban Guilder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1964,ABW,Aruba,Aruban Guilder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,ABW,Aruba,Aruban Guilder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1966,ABW,Aruba,Aruban Guilder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1967,ABW,Aruba,Aruban Guilder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1968,ABW,Aruba,Aruban Guilder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,ABW,Aruba,Aruban Guilder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,ABW,Aruba,Aruban Guilder,59063.0,,400081726.07421875,463304107.66601562,228502838.13476562,403673522.94921875,418373504.63867188,392981750.48828125,1313093383.7890625,262308593.75,246214660.64453125,336629699.70703125,688414428.7109375,,0.040120232850313187,,,,,,,0.57817602157592773,0.47236254811286926,0.50288337469100952,0.57660084962844849,0.33433324098587036,0.5847204327583313,0.92195218801498413,0.8665696382522583,0.33462950587272644,,,1.79,,Extrapolated,Extrapolated,Market-based,Outlier,,,,0.46865704655647278,0.44574761390686035,0.11280213296413422,0.50742697715759277,-0.49849462509155273,-0.036139149218797684,
1971,ABW,Aruba,Aruban Guilder,59440.0,,436486053.46679688,504684326.171875,248305633.54492188,441596771.24023438,457677764.89257812,446115203.85742188,1440541503.90625,286148437.5,268591827.39257812,367224212.64648438,758382812.5,,0.039126306772232056,,,,,,,0.56042885780334473,0.45481544733047485,0.46660357713699341,0.56101298332214355,0.31914237141609192,0.55804836750030518,0.83959758281707764,0.8514702320098877,0.32446986436843872,,,1.79,,Extrapolated,Extrapolated,Market-based,Outlier,,,,0.4469287097454071,0.43327626585960388,0.1096666008234024,0.51700109243392944,-0.47073352336883545,-0.036139171570539474,
1972,ABW,Aruba,Aruban Guilder,59840.0,,476160919.18945312,550488647.4609375,269829010.00976562,481874847.41210938,499422515.86914062,488221862.79296875,1580743164.0625,312154968.26171875,293002746.58203125,400599334.71679688,834935791.015625,,0.038329333066940308,,,,,,,0.54321777820587158,0.43901804089546204,0.44908988475799561,0.54620695114135742,0.30642357468605042,0.53130507469177246,0.82070785760879517,0.83879876136779785,0.31434813141822815,,,1.79,,Extrapolated,Extrapolated,Market-based,Regular,,,,0.44181373715400696,0.43432268500328064,0.11086329072713852,0.50904875993728638,-0.4599093496799469,-0.036139145493507385,
1973,ABW,Aruba,Aruban Guilder,60243.0,,519418701.171875,599462646.484375,292391998.29101562,525150451.66015625,544273986.81640625,559188903.80859375,1732009155.2734375,340525115.96679688,319632263.18359375,437007690.4296875,918604614.2578125,,0.037695486098527908,,,,,,,0.52802276611328125,0.42431497573852539,0.41299745440483093,0.53187519311904907,0.29403689503669739,0.51280534267425537,0.6916612982749939,0.77380812168121338,0.30490371584892273,,,1.79,,Extrapolated,Extrapolated,Market-based,Regular,,,,0.41725441813468933,0.41624295711517334,0.10563146322965622,0.55548030138015747,-0.45847001671791077,-0.036139152944087982,
1974,ABW,Aruba,Aruban Guilder,60528.0,,566945678.7109375,652476135.25390625,319150177.00195312,582142272.94921875,603341552.734375,649133361.81640625,1902454833.984375,371473663.33007812,348681945.80078125,476725067.13867188,1009965393.0664062,,0.03719552606344223,,,,,,,0.50953972339630127,0.40317919850349426,0.37473773956298828,0.51384830474853516,0.27410691976547241,0.49261704087257385,0.53354901075363159,0.62621653079986572,0.29476076364517212,,,1.79,,Extrapolated,Extrapolated,Market-based,Regular,,,,0.39188215136528015,0.40514340996742249,0.099773623049259186,0.65338259935379028,-0.51404255628585815,-0.03613923117518425,
